"","items"
"2270","{yogurt,pastry}"
"2271","{frankfurter,other vegetables,yogurt,beverages,hard cheese,rolls/buns,canned fish,soda,canned beer,brandy,shopping bags}"
"2272","{frankfurter,ham,pip fruit,domestic eggs}"
"2273","{brown bread}"
"2274","{root vegetables,herbs,other vegetables,yogurt,brandy,salty snack,waffles,skin care,shopping bags}"
"2275","{dish cleaner,napkins}"
"2276","{yogurt,organic products,shopping bags}"
"2277","{sausage,pip fruit,other vegetables,yogurt,mustard,fruit/vegetable juice,shopping bags}"
"2278","{sauces,specialty chocolate}"
"2279","{brown bread,pastry,pasta}"
"2280","{citrus fruit,tropical fruit,whole milk,butter milk,beverages,soda,shopping bags}"
"2281","{cream cheese ,ice cream,white bread,specialty chocolate}"
"2282","{beverages,soft cheese,rolls/buns,sugar,misc. beverages,candy}"
"2283","{curd,whipped/sour cream,pudding powder,candy,flower (seeds),shopping bags}"
"2284","{ice cream,chocolate marshmallow}"
"2285","{hard cheese,soda}"
"2286","{detergent,decalcifier,hygiene articles}"
"2287","{bottled water,soda,bottled beer,dental care}"
"2288","{soda,specialty bar}"
"2289","{pip fruit,other vegetables,whipped/sour cream,oil}"
"2290","{whole milk,butter milk,yogurt}"
"2291","{waffles}"
"2292","{sausage,other vegetables,dessert,canned vegetables}"
"2293","{chicken,pip fruit,UHT-milk,bottled water,bottled beer,shopping bags}"
"2294","{beverages,rolls/buns}"
"2295","{ice cream,frozen dessert,salty snack}"
"2296","{butter,sliced cheese,misc. beverages,fruit/vegetable juice}"
"2297","{beverages,waffles}"
"2298","{frankfurter,tropical fruit,dessert,rolls/buns,brown bread,seasonal products,flower (seeds)}"
"2299","{detergent}"
"2300","{sausage,citrus fruit,pip fruit,whole milk,curd,domestic eggs,margarine,newspapers}"
"2301","{chicken,other vegetables,whole milk,cream cheese ,hygiene articles}"
"2302","{yogurt,bottled beer,liquor (appetizer),chewing gum}"
"2303","{whole milk,yogurt,oil,bottled water,bottled beer,salty snack,specialty chocolate}"
"2304","{yogurt,bottled water}"
"2305","{whipped/sour cream}"
"2306","{whole milk,yogurt,hard cheese,rolls/buns,bottled water}"
"2307","{citrus fruit,whole milk,butter milk,yogurt,baking powder}"
"2308","{whole milk}"
"2309","{citrus fruit,flour,pasta,margarine,sugar,baking powder,soda}"
"2310","{pork,other vegetables,whole milk,canned fish,coffee,specialty bar,candy}"
"2311","{beverages}"
"2312","{UHT-milk,hygiene articles,cling film/bags,newspapers}"
"2313","{beef,whole milk,frozen vegetables,sweet spreads,candy,dish cleaner,dental care,photo/film}"
"2314","{other vegetables}"
"2315","{whole milk,yogurt,rolls/buns,bottled water}"
"2316","{frankfurter,citrus fruit,tropical fruit,other vegetables,whole milk,candles}"
"2317","{yogurt,rolls/buns,pastry,soda}"
"2318","{canned beer}"
"2319","{canned beer}"
"2320","{other vegetables,yogurt,whipped/sour cream,newspapers}"
"2321","{frankfurter,sausage,other vegetables,brown bread,flour,bottled water,candy}"
"2322","{canned beer}"
"2323","{pork,herbs,other vegetables,processed cheese,cake bar}"
"2324","{frankfurter,whole milk,yogurt,processed cheese,ice cream,frozen dessert,rolls/buns,white bread,brown bread,sugar,coffee,bottled water,soda,bottled beer,candy}"
"2325","{chocolate,specialty bar}"
"2326","{citrus fruit,tropical fruit,fruit/vegetable juice}"
"2327","{specialty fat,sugar,cat food}"
"2328","{spread cheese,rolls/buns,brown bread,soda}"
"2329","{whole milk,beverages,bottled water,cake bar,newspapers}"
"2330","{whole milk,pastry}"
"2331","{whole milk,pastry}"
"2332","{hygiene articles}"
"2333","{beef,citrus fruit,root vegetables,whole milk,rolls/buns,pastry,coffee,seasonal products}"
"2334","{meat,beef,root vegetables,butter,flour,fruit/vegetable juice,whisky,white wine,napkins}"
"2335","{beef,other vegetables,whole milk,rolls/buns}"
"2336","{pip fruit,whole milk,yogurt}"
"2337","{other vegetables,rolls/buns}"
"2338","{hamburger meat,yogurt,rolls/buns,artif. sweetener,sauces,dish cleaner,dishes}"
"2339","{rolls/buns,specialty chocolate}"
"2340","{instant coffee}"
"2341","{canned beer}"
"2342","{pork,rolls/buns,soda}"
"2343","{pork,beverages,flour,margarine,bottled beer}"
"2344","{tropical fruit,berries,root vegetables,whole milk,yogurt,cream cheese ,rolls/buns,bottled water,soda}"
"2345","{whole milk,cat food,bottled water,napkins}"
"2346","{frankfurter,meat,berries,root vegetables,butter,whipped/sour cream,frozen vegetables,domestic eggs,rolls/buns,oil,specialty fat,spices,baking powder,bottled beer,waffles,napkins}"
"2347","{beverages,processed cheese}"
"2348","{pip fruit,rolls/buns,sugar,sauces,newspapers}"
"2349","{pip fruit,root vegetables,other vegetables,whole milk,yogurt}"
"2350","{frankfurter,sausage,meat,pip fruit,yogurt,rolls/buns,bottled water,soda,newspapers}"
"2351","{sausage,pip fruit,bottled water}"
"2352","{long life bakery product}"
"2353","{bottled water}"
"2354","{beef,root vegetables,other vegetables,whipped/sour cream}"
"2355","{domestic eggs,dish cleaner,hygiene articles}"
"2356","{oil,margarine,bottled water,red/blush wine,waffles}"
"2357","{meat,tropical fruit,pip fruit,other vegetables,butter,pastry}"
"2358","{processed cheese,rolls/buns,soda}"
"2359","{sausage,pork,spread cheese,frozen vegetables,pastry}"
"2360","{citrus fruit,curd}"
"2361","{frozen vegetables}"
"2362","{sausage,rolls/buns,shopping bags}"
"2363","{pastry,candles}"
"2364","{pork,hamburger meat}"
"2365","{berries,other vegetables,whole milk,whipped/sour cream}"
"2366","{whole milk,yogurt,whipped/sour cream,sugar}"
"2367","{ham,rolls/buns}"
"2368","{packaged fruit/vegetables,processed cheese,frozen vegetables,bottled water,fruit/vegetable juice,snack products,candy}"
"2369","{packaged fruit/vegetables}"
"2370","{rolls/buns,canned beer}"
"2371","{whole milk,butter milk,domestic eggs}"
"2372","{whole milk}"
"2373","{sausage,pork,berries,other vegetables,whole milk,rolls/buns,brown bread,roll products ,margarine,sweet spreads,softener}"
"2374","{white bread,flour,oil,sugar,coffee,bottled water,salty snack}"
"2375","{rolls/buns,bottled water}"
"2376","{bottled water}"
"2377","{other vegetables,soda,bottled beer,shopping bags}"
"2378","{frankfurter,rolls/buns,napkins}"
"2379","{frankfurter,rolls/buns,salt,canned beer,newspapers}"
"2380","{frankfurter,butter,rolls/buns,semi-finished bread,misc. beverages,shopping bags}"
"2381","{rolls/buns,pastry,soda}"
"2382","{sausage,coffee,bottled water}"
"2383","{brown bread,bottled water,bottled beer}"
"2384","{UHT-milk,margarine,bottled water,soda}"
"2385","{pip fruit,yogurt}"
"2386","{whole milk,coffee}"
"2387","{processed cheese}"
"2388","{hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns,zwieback,margarine,flower (seeds)}"
"2389","{beef,root vegetables,herbs,curd,rolls/buns,bottled beer}"
"2390","{whole milk,brown bread,bottled beer}"
"2391","{hamburger meat,citrus fruit,other vegetables,whole milk,curd,yogurt,misc. beverages}"
"2392","{pasta,fruit/vegetable juice}"
"2393","{tropical fruit,butter,brown bread}"
"2394","{whole milk,bottled water}"
"2395","{sausage}"
"2396","{rolls/buns,soda,specialty bar}"
"2397","{sliced cheese,rolls/buns,canned beer}"
"2398","{rolls/buns,fruit/vegetable juice,long life bakery product,newspapers}"
"2399","{sausage}"
"2400","{pastry,fruit/vegetable juice}"
"2401","{rolls/buns,soda}"
"2402","{pork,beef,whole milk,condensed milk,domestic eggs,fruit/vegetable juice,sparkling wine,salty snack,waffles}"
"2403","{other vegetables,UHT-milk,rolls/buns,pastry,bottled water,soda}"
"2404","{domestic eggs,soda}"
"2405","{ham,beef,citrus fruit,tropical fruit,cream cheese ,bottled water,newspapers}"
"2406","{soda,canned beer}"
"2407","{specialty chocolate}"
"2408","{pork}"
"2409","{other vegetables}"
"2410","{onions,whole milk,butter,frozen fish}"
"2411","{tropical fruit,rolls/buns,bottled water}"
"2412","{pip fruit,whole milk,curd,whipped/sour cream,salt}"
"2413","{sausage,hamburger meat,tropical fruit,cream cheese ,fruit/vegetable juice}"
"2414","{rolls/buns}"
"2415","{hamburger meat,root vegetables,other vegetables,roll products }"
"2416","{citrus fruit,tropical fruit,pip fruit,pastry,coffee,chocolate}"
"2417","{whole milk,yogurt,frozen potato products,brown bread,napkins}"
"2418","{root vegetables,other vegetables}"
"2419","{chewing gum}"
"2420","{beef,root vegetables}"
"2421","{rolls/buns}"
"2422","{citrus fruit,shopping bags}"
"2423","{snack products,chocolate}"
"2424","{sausage,ham,chicken,turkey,cake bar}"
"2425","{mustard}"
"2426","{sausage,pork,soda}"
"2427","{frozen meals,frozen fish,chocolate}"
"2428","{sausage,citrus fruit,other vegetables,yogurt,hard cheese,pastry,canned vegetables,soda}"
"2429","{spread cheese,rolls/buns}"
"2430","{sausage,rolls/buns,soda}"
"2431","{herbs,whole milk}"
"2432","{tropical fruit,other vegetables}"
"2433","{frankfurter,meat,hamburger meat,citrus fruit,whole milk,cream cheese ,domestic eggs,pastry,dishes}"
"2434","{domestic eggs,margarine,bottled water}"
"2435","{sausage,other vegetables}"
"2436","{citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,specialty cheese}"
"2437","{pip fruit,root vegetables,butter milk,frozen vegetables,rolls/buns,misc. beverages,fruit/vegetable juice,newspapers,pot plants}"
"2438","{onions,yogurt,flour,sugar,bottled water,fruit/vegetable juice,red/blush wine,hair spray}"
"2439","{frankfurter,domestic eggs,rolls/buns}"
"2440","{shopping bags}"
"2441","{bottled beer}"
"2442","{frankfurter,root vegetables,onions,condensed milk,mayonnaise,frozen vegetables,Instant food products}"
"2443","{whole milk,spread cheese}"
"2444","{soda,hygiene articles,napkins}"
"2445","{beef,herbs,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,mayonnaise,domestic eggs,brown bread,sweet spreads,cat food,soda,fruit/vegetable juice}"
"2446","{bottled water,chocolate}"
"2447","{sausage}"
"2448","{ice cream}"
"2449","{tropical fruit,cat food,bottled water,soda,bottled beer,white wine,hygiene articles}"
"2450","{whole milk,frozen vegetables}"
"2451","{yogurt,pastry,canned beer,red/blush wine}"
"2452","{herbs,misc. beverages,shopping bags}"
"2453","{whole milk,tea,bottled beer,napkins,cling film/bags}"
"2454","{meat,curd,white bread}"
"2455","{frankfurter,pip fruit,other vegetables,whole milk,butter,yogurt,fruit/vegetable juice,shopping bags}"
"2456","{citrus fruit,whole milk,yogurt,softener,hygiene articles}"
"2457","{canned beer,candy}"
"2458","{chicken,soda,canned beer,liquor (appetizer),newspapers}"
"2459","{yogurt,waffles}"
"2460","{beef,yogurt,spread cheese,margarine,salty snack}"
"2461","{whipped/sour cream,candy}"
"2462","{pip fruit,root vegetables,whole milk,whipped/sour cream,processed cheese,white bread,flour,fruit/vegetable juice,napkins}"
"2463","{frankfurter,whole milk,rolls/buns,pastry,soda,specialty chocolate}"
"2464","{soda}"
"2465","{pip fruit,yogurt,bottled water,canned beer,chewing gum,napkins}"
"2466","{citrus fruit,tropical fruit,whipped/sour cream,rolls/buns,candy,newspapers}"
"2467","{whole milk}"
"2468","{root vegetables,onions,other vegetables,whole milk,whipped/sour cream,specialty cheese,frozen meals,rolls/buns,white bread,pastry,canned vegetables,sweet spreads}"
"2469","{sausage,whipped/sour cream,white bread,baking powder}"
"2470","{liver loaf,ham,pip fruit,root vegetables,other vegetables,whole milk,curd,dessert,butter milk,yogurt,mayonnaise,white bread,pastry,rice,sugar,pet care,coffee,soda,fruit/vegetable juice,salty snack,long life bakery product,napkins}"
"2471","{soda}"
"2472","{root vegetables,liquor,shopping bags}"
"2473","{other vegetables,cream cheese ,white bread,jam,coffee,bottled water,soda,fruit/vegetable juice,canned beer,red/blush wine,cling film/bags}"
"2474","{tropical fruit,whole milk,spread cheese,cat food,coffee,bottled water,soda,misc. beverages,fruit/vegetable juice,shopping bags}"
"2475","{butter,oil,cling film/bags}"
"2476","{sausage,pip fruit,hard cheese,rolls/buns,soda}"
"2477","{butter}"
"2478","{whole milk,brown bread,chocolate,house keeping products,newspapers}"
"2479","{other vegetables,whole milk,whipped/sour cream,specialty cheese,white bread,cat food,bottled water}"
"2480","{whole milk,yogurt,pastry,soda,misc. beverages,shopping bags}"
"2481","{white bread}"
"2482","{pork}"
"2483","{whipped/sour cream,sliced cheese,frozen dessert,hygiene articles,napkins}"
"2484","{yogurt,frozen fish,ice cream}"
"2485","{butter milk,tea,fruit/vegetable juice,bottled beer,red/blush wine,shopping bags}"
"2486","{yogurt,whipped/sour cream,hard cheese,ketchup}"
"2487","{other vegetables,whole milk,coffee}"
"2488","{pastry}"
"2489","{yogurt,rolls/buns,misc. beverages}"
"2490","{citrus fruit,whole milk,butter,yogurt,zwieback,jam,dishes}"
"2491","{condensed milk,coffee}"
"2492","{root vegetables,pastry}"
"2493","{other vegetables,oil}"
"2494","{citrus fruit,rolls/buns,snack products}"
"2495","{frankfurter,photo/film}"
"2496","{sausage}"
"2497","{other vegetables}"
"2498","{herbs}"
"2499","{ham,pip fruit,other vegetables,cream cheese ,pastry,bottled beer}"
"2500","{root vegetables,yogurt,beverages,flour}"
"2501","{soda}"
"2502","{sausage,beef,hamburger meat,yogurt,soft cheese,cream cheese ,domestic eggs,rolls/buns,pastry,instant coffee}"
"2503","{frankfurter,pip fruit,frozen vegetables,fruit/vegetable juice,nut snack}"
"2504","{bottled water}"
"2505","{meat,citrus fruit,whole milk,spread cheese}"
"2506","{ham,root vegetables,butter,bottled water,white wine}"
"2507","{sugar,canned beer}"
"2508","{chicken,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk}"
"2509","{UHT-milk,domestic eggs,sugar,fruit/vegetable juice,newspapers}"
"2510","{beef,yogurt,rolls/buns,cat food,napkins,dishes,newspapers}"
"2511","{ham,domestic eggs,brown bread,bottled water,chocolate marshmallow,seasonal products,napkins,newspapers}"
"2512","{rolls/buns,zwieback,chocolate marshmallow,dishes}"
"2513","{citrus fruit,yogurt,pastry,salt,margarine,specialty fat,cat food,specialty bar,dish cleaner}"
"2514","{citrus fruit,tropical fruit,whole milk,yogurt,rolls/buns,pastry,semi-finished bread,bottled beer,napkins}"
"2515","{cat food,coffee}"
"2516","{hard cheese,honey,candy}"
"2517","{frankfurter,other vegetables,whole milk,yogurt,cream cheese ,rolls/buns,pastry,coffee}"
"2518","{bottled beer}"
"2519","{yogurt,spread cheese,rolls/buns,soda,canned beer,shopping bags}"
"2520","{frankfurter,sausage,chicken,other vegetables,frozen meals,salt,sugar,soups,coffee,chewing gum,male cosmetics,hygiene articles,napkins,light bulbs}"
"2521","{rolls/buns,soda,newspapers}"
"2522","{whole milk,beverages,bottled water,soda,cake bar,newspapers}"
"2523","{meat,beef,onions,white wine,dishes}"
"2524","{curd,napkins}"
"2525","{beverages,white bread,pastry,newspapers,shopping bags}"
"2526","{frankfurter,whole milk,UHT-milk,hard cheese,mayonnaise,rolls/buns,brown bread,margarine,newspapers}"
"2527","{sausage,pork,beef,root vegetables,butter,yogurt,spread cheese,rolls/buns,brown bread,pastry,oil,canned fish}"
"2528","{sausage,pip fruit,whole milk,rolls/buns,soda,chewing gum,shopping bags}"
"2529","{meat,other vegetables}"
"2530","{sausage,tropical fruit,pip fruit,rolls/buns,pastry,margarine}"
"2531","{whole milk,rolls/buns,pastry}"
"2532","{canned beer}"
"2533","{frankfurter,citrus fruit,tropical fruit,pip fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,domestic eggs,sugar,bottled water,salty snack,candy,hygiene articles}"
"2534","{long life bakery product}"
"2535","{pork,butter,hard cheese,cream cheese }"
"2536","{pip fruit,other vegetables,whole milk,butter,curd,rolls/buns,margarine,baking powder,bottled water,bottled beer,canned beer,cooking chocolate,napkins}"
"2537","{bottled beer}"
"2538","{pork,tropical fruit,root vegetables,onions,other vegetables,shopping bags}"
"2539","{bottled water,white wine,newspapers}"
"2540","{whole milk,domestic eggs,brown bread,photo/film}"
"2541","{curd,dessert,soda,fruit/vegetable juice,candy,hygiene articles,shopping bags}"
"2542","{tropical fruit,pip fruit,UHT-milk,rolls/buns,pastry,salt}"
"2543","{pip fruit,other vegetables,whole milk,yogurt,brown bread,pastry}"
"2544","{chicken,beef,tropical fruit,root vegetables,onions,other vegetables,pickled vegetables,canned fish,bottled water,misc. beverages,fruit/vegetable juice,napkins}"
"2545","{whole milk,newspapers}"
"2546","{citrus fruit,other vegetables,yogurt,spread cheese,rolls/buns,soda,chocolate,newspapers}"
"2547","{canned beer}"
"2548","{pip fruit,nuts/prunes,root vegetables,condensed milk,rolls/buns,pickled vegetables,coffee,canned beer,liquor (appetizer)}"
"2549","{photo/film}"
"2550","{root vegetables,other vegetables,frozen vegetables}"
"2551","{frankfurter,tropical fruit,root vegetables,whole milk,butter,curd,yogurt}"
"2552","{yogurt,white wine,red/blush wine}"
"2553","{UHT-milk,ice cream,domestic eggs,oil,soda,cling film/bags}"
